gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
MFNG,-49.17685,15.37556,-24.14204,28.9216,15.75156,3.15071,4.32,-14.00492,-4.33347,2.86124
MFSD1,50.33296,-0.21148,-1.25992,9.03113,-1.08256,-4.47709,2.12087,3.27648,-0.71875,-1.71173
MFSD10,55.62194,0.97281,-1.43291,1.63946,-1.66435,1.34859,-0.05831,-3.02216,-1.37678,-0.61986
MFSD11,33.72842,-0.61468,-3.57057,-0.44736,1.37294,0.35562,1.79245,1.96549,-0.38268,0.37585
MFSD12,57.75547,-3.97478,2.24775,5.06009,-2.26408,2.41783,-1.98166,3.45321,4.15983,-6.51975
MFSD13A,-1.21302,1.44133,-10.98477,-3.39074,-0.01741,0.71747,1.26202,-7.38894,2.60252,-3.45527
MFSD14A,61.39856,-1.22751,-3.04398,1.41696,2.90497,-0.05969,1.41088,-0.83678,-0.4,0.38244
MFSD14B,70.77911,2.14417,-0.77853,3.23017,1.48569,-1.59889,1.14736,0.32493,1.54704,0.0778
MFSD14C,-13.68062,-0.89768,-4.65064,-1.46656,5.80988,8.99027,1.22145,-1.39425,-0.96627,-2.37528
MFSD2A,-2.73353,1.33685,-2.28672,3.46039,5.41488,1.21797,8.50323,1.15658,1.5011,-0.72174
MFSD2B,-85.58169,1.83683,-5.03756,2.37354,1.7205,5.1755,-3.4882,-2.32538,-0.96249,-6.38171
MFSD3,21.47513,4.47653,-4.12536,-2.65176,1.35823,0.71859,-0.51189,2.10047,0.42965,-0.71532
MFSD4A,-57.23124,10.10901,-12.53723,-3.95874,1.44855,-1.72549,1.90932,-4.93421,-0.15989,0.3466
MFSD4B,10.74083,-2.76819,-4.8157,-2.538,2.4722,6.95745,-1.14693,-0.88639,-1.52465,-0.30818
MFSD5,31.41059,0.85136,-0.7612,3.69091,-1.90409,-4.43158,-2.16243,1.46575,1.71991,-1.67318
MFSD6,36.12235,11.03191,-6.45742,-1.54406,3.36669,0.39305,9.37427,3.93313,-1.5684,0.41113
MFSD7,-92.46211,6.68092,0.57818,9.23983,-9.35542,-10.16526,-8.81814,2.90534,-6.6127,3.59901
MFSD8,21.1011,1.01744,-5.06462,0.50044,-0.25547,-0.29149,0.17193,0.22309,-1.87011,-0.09904
MFSD9,21.17418,4.39241,-7.4486,-2.74056,-3.44089,-1.03278,1.34658,-2.61238,0.98178,1.36377
MGA,61.70595,-4.26681,-5.69218,-2.5205,3.88819,-0.32576,-0.20914,-1.946,-1.85126,2.76319
MGAM,-91.25496,9.95614,4.55352,9.63563,3.72189,5.64177,8.01241,10.0958,10.42022,-3.9941
MGAM2,-117.48556,17.40094,-17.35103,4.33505,-27.63207,14.65953,9.71549,12.21418,19.66044,4.01097
MGARP,-109.08044,-12.74818,4.73161,1.80996,1.08415,4.16197,-2.35302,-5.63303,-11.45913,1.1808
MGAT1,74.17608,0.18614,2.4996,5.19179,1.78285,-0.74716,-0.94479,2.30464,0.63613,-0.18387
MGAT2,9.2527,-2.45517,-0.30998,-2.52595,4.47797,22.85396,-2.79377,-1.71343,-1.9229,-3.74189
MGAT3,-51.90771,-6.66077,-31.72885,-23.13711,6.09551,2.93789,2.31106,-10.12549,-1.98195,18.40792
MGAT4A,-0.02147,17.66045,-17.33707,-14.36957,-4.42182,-3.2819,-10.36088,8.42503,-6.68984,4.62119
MGAT4B,86.02228,4.24542,4.53909,-0.32293,-6.24974,2.49341,-0.44451,0.30044,-0.20626,1.0373
MGAT4C,-61.82183,-6.69309,-5.3232,-2.71788,2.5081,5.05024,-0.53021,-1.8018,1.14986,-1.18851
MGAT5,70.20872,-4.28865,-4.34879,-0.41456,-7.50484,1.03345,5.86399,-2.5554,3.7605,-1.71251
MGAT5B,-19.00196,-19.13521,38.33866,-6.02805,10.3122,-5.74817,-1.28254,-5.8513,-8.44497,-18.36771
MGEA5,92.23634,-2.20255,-3.3708,0.28318,1.47886,1.36865,1.0014,-1.00599,-0.67769,1.14291
MGLL,33.35347,20.42854,18.14737,16.85672,-17.77419,-0.65816,3.34801,3.88215,-7.12635,-4.68701
MGME1,47.89935,-1.39349,-2.86955,1.40934,2.16724,-1.55352,2.3171,-0.63643,1.9811,-0.4701
MGMT,-25.7656,7.95053,-14.69565,-12.8262,-0.92697,-13.82212,-7.3078,-11.93177,-10.01137,11.65224
MGP,-78.53476,-8.49176,11.54881,-2.31972,-1.91002,-4.8832,8.69881,35.06294,-15.91689,-3.03219
MGRN1,57.56274,-4.69157,-5.14565,-0.07523,-3.4879,2.27616,1.51713,0.69258,-1.87808,0.27184
MGST1,32.88145,26.92681,8.66504,7.25534,-25.64237,-21.68703,-4.96173,8.67756,1.94612,12.62236
MGST2,-1.6375,27.26405,-0.96298,2.13473,-6.8933,-6.79446,10.57797,2.13523,-0.16832,9.71853
MGST3,49.53743,0.14428,3.26339,-1.84293,-6.36347,0.47635,-0.13111,2.04449,-0.73349,2.01789
MIA,-138.73428,3.79494,-0.93416,10.85687,-10.13513,9.66373,2.4316,13.37591,8.82752,-11.49424
MIA3,67.84862,-3.25834,-3.0521,-1.3334,0.83188,0.19583,2.17883,3.62352,-1.08392,0.13647
MIB1,76.65563,-5.05972,-4.56723,-2.50843,3.56002,1.82227,-0.13112,-0.60541,-0.23892,1.54653
MIB2,37.07736,0.70676,-1.14993,-0.50071,4.07816,7.80657,1.62609,1.4641,-1.40614,0.73451
MICA,22.08246,17.5937,16.662,20.45071,-6.28943,2.39472,-18.6261,9.86024,4.08579,1.07985
MICAL1,37.5259,-15.1598,-6.05381,6.71135,-4.49151,7.02356,3.93075,-3.79814,-1.79654,-1.03831
MICAL2,55.64873,15.2779,29.92136,7.71842,-18.98533,6.4456,4.98032,-7.57822,-10.038,-4.51437
MICAL3,56.35377,-5.05491,4.11683,-1.34012,0.70104,0.90273,0.40596,0.34784,0.59603,-2.51583
MICALCL,-53.98649,24.03183,11.14336,-6.47332,3.77247,7.68477,13.64241,-6.71233,-5.96535,-5.32043
MICALL1,58.39319,1.72874,7.00789,0.21692,8.8226,5.2764,1.81835,-0.52298,1.30186,-2.07185
MICALL2,28.15906,16.60235,20.05296,-0.30688,-3.92415,8.99868,-0.76985,8.15453,-0.68291,-0.89465
MICB,10.03441,6.99697,4.90092,28.7431,3.04406,-0.62179,-22.71873,1.57196,-1.31684,5.20345
MICU1,55.27981,-0.93435,-2.09516,1.65328,-1.72895,-2.48783,-0.72726,-1.59618,-0.95852,-0.62886
MICU2,44.65609,-0.28413,-5.85708,1.92499,-1.90909,0.27066,0.57845,1.55664,0.03126,0.98676
MICU3,-91.10709,-47.92625,26.97413,-8.10676,-6.63051,-10.48153,-3.12836,-8.7627,3.8033,11.42368
MID1,35.01969,6.98733,26.02757,-8.64273,-5.11074,1.09095,2.07678,-0.1936,5.17041,-0.67098
MID1IP1,51.38031,0.5074,-2.01272,-5.64313,-3.48915,4.66815,2.89425,1.55072,2.77013,2.49465
MID2,-40.71736,30.8768,25.4432,-6.84291,2.80345,-3.17923,-8.28033,3.38764,-6.04609,-1.37024
MIDN,61.94373,-0.07095,-1.95468,-4.75695,1.50299,5.39166,2.95557,0.90974,-2.16033,0.88015
MIEF1,67.71725,-4.44733,-6.58191,0.11017,0.94187,-1.46379,1.30478,0.66707,2.83653,-1.3016
MIEF2,9.25155,6.26874,2.42965,0.78126,2.81037,-0.03859,-2.90635,0.99927,-4.53207,-1.66116
MIEN1,40.40162,5.53114,-3.85796,-0.20047,-2.62646,-4.41496,0.37127,5.16715,-0.09643,-1.98497
MIER1,52.78323,-1.34306,-3.34338,2.26287,0.53986,2.23712,-1.72406,-0.19924,-1.79575,0.74474
MIER2,25.89305,-2.71597,-2.07178,-0.55586,2.01407,5.40127,0.99646,0.77299,-0.28036,-2.5278
MIER3,44.67234,-1.52011,-6.16824,-1.23978,-1.37615,0.72195,0.74812,-0.60547,-0.88216,-0.89256
MIF,63.66629,-3.1765,-2.00481,-3.8108,2.41137,6.91482,-0.15064,-0.34787,0.35321,-3.64245
MIF4GD,23.43482,3.48214,-9.09862,0.83356,1.92569,0.34751,-1.90535,-0.5877,-0.75217,-2.19396
MIGA1,37.36123,-0.0934,3.50133,-0.37892,-2.72208,-0.39389,-1.56026,0.49513,0.25996,-2.22577
MIGA2,37.25301,1.52954,-5.10384,1.99503,1.70999,-0.37857,2.29912,0.10494,-1.21118,-0.36169
MIIP,29.11751,-2.15872,-5.56277,2.51551,-0.08853,0.56409,-3.21882,-0.44593,-0.33345,-1.40238
MILR1,-64.87901,5.1375,2.89909,37.83959,-5.20955,10.17907,6.57162,-5.25471,-4.51118,1.45448
MINDY1,12.59399,-1.12694,-7.28992,-1.38308,-2.17992,1.13758,3.90821,6.09047,-3.38004,0.95286
MINDY2,45.20888,2.63728,-0.8358,-2.10849,1.93746,1.68258,-0.71428,-0.48454,0.3289,-0.36647
MINDY3,24.96846,-3.79013,-4.93238,0.77045,-2.30158,2.1086,1.95409,0.53771,-1.30129,-4.23012
MINDY4,-66.31661,2.05859,1.05841,-2.31145,-4.92615,-0.03238,0.90156,0.99818,-2.4451,-4.76578
MINK1,74.40733,5.62334,-0.57276,-1.48499,2.44068,4.16738,0.44544,0.24617,0.73517,-0.9215
MINOS1,32.59143,-0.33285,-3.21527,3.98722,-1.97768,-3.64476,-0.71332,1.95659,1.52604,-1.2628
MINPP1,33.39212,-1.55288,1.71903,-1.04828,-2.53742,0.73733,0.01819,-3.5721,0.8718,-1.58007
MIOS,45.1258,-1.08587,-4.68617,-0.38692,2.88719,-0.04454,3.38521,-0.29791,0.04743,-3.11871
MIPEP,24.15154,5.69033,-4.67019,0.63345,-3.46435,-0.81694,0.25716,0.98927,3.49123,-2.86127
MIPOL1,10.39433,4.51431,1.18511,-7.04084,3.35846,-1.734,-3.80437,0.64788,5.07135,-1.66673
MIS12,38.70692,-1.29233,-2.65725,2.004,3.14013,0.59063,0.60542,-0.84856,1.08693,-1.49783
MIS18A,32.05512,-2.69137,-5.41932,2.31437,-0.11775,-6.10561,-2.01117,-0.8009,-0.87849,-1.83863
MIS18BP1,56.20028,-0.00593,-7.09731,2.43251,3.96416,-2.51446,-0.26472,-4.02545,0.28252,-0.22598
MISP,-13.57122,69.15097,3.74263,-20.7569,-2.92841,-5.87917,-2.18635,-13.00378,-3.13544,0.73625
MISP3,-47.5299,13.46035,-11.18042,-9.91354,-7.80295,4.77079,-4.71658,6.96638,-3.34067,-8.21935
MITD1,29.76954,0.75137,-3.55743,5.21982,-0.63281,0.92997,-1.67632,-2.74351,-0.23445,0.09052
MITF,0.05862,0.31867,22.20757,2.37455,-4.04409,-3.4719,-8.28824,7.77955,6.61587,-4.19505
MKI67,115.42189,-3.72306,-4.06617,0.80472,1.18165,-7.48332,0.83758,-3.30701,-0.29355,2.28973
MKKS,52.51646,-1.48435,-2.23569,1.28847,-2.16066,-2.70352,1.56286,0.03606,2.943,-1.00365
MKL1,46.26664,-3.29567,-0.84643,4.16659,6.26967,-0.08957,-0.10052,1.17607,-3.7747,0.19923
MKL2,53.7831,2.91774,-0.60421,-6.14935,1.54695,1.28211,2.02453,2.52982,-2.54228,0.72597
MKLN1,64.78605,-5.33338,-3.52791,-1.205,-2.29482,4.94622,-0.1633,1.91507,0.22519,0.09494
MKNK1,36.63047,5.24112,-1.62719,3.80698,3.33877,0.5075,-0.91512,0.60792,0.32469,0.92793
MKNK2,75.53405,4.37171,-8.73551,1.21806,3.30976,5.23041,-0.14097,1.36592,-3.92707,0.59175
MKRN1,75.02312,0.9217,-5.01568,0.11882,-1.71486,-0.70429,1.03845,3.79063,0.08106,0.46956
MKRN2,45.95751,-5.14571,-3.82682,2.45209,-0.49406,0.12182,-0.50158,-0.55067,-0.41733,-0.36648
MKRN2OS,-91.92137,30.91169,-11.53032,5.80124,-1.75266,-18.58877,6.83177,-4.30051,-0.74225,0.35344
MKRN3,-57.74493,-10.15373,3.53001,-0.84005,14.33872,-7.20145,10.87496,14.71387,3.94861,-12.31314
MKS1,22.41371,-1.34352,-3.259,-2.41523,0.62141,-1.81013,0.00421,-0.94769,-0.44586,-0.43702
MKX,-100.56558,5.29281,13.57347,0.6096,1.95824,-5.3924,-19.04465,0.08237,-1.84539,13.81603
MLANA,-82.40617,-3.96683,-6.66068,12.9295,-4.29118,-7.46122,1.27943,8.89989,14.10627,-9.17361
MLC1,-123.98587,-13.98737,-7.9407,13.22008,12.41939,15.72715,-7.94492,8.26732,6.99064,19.39566
MLEC,106.06125,-0.36866,-3.40743,0.54013,-5.737,-1.7335,1.55692,1.73207,1.64597,2.15674
MLF1,2.88109,1.83415,26.21381,-16.60205,4.3242,-6.95773,4.16995,6.58848,4.00468,-0.2551
MLF2,92.5647,-1.73236,0.32984,-2.19697,-0.27067,-2.99484,-1.17761,0.23473,1.00066,-0.99353
MLH1,44.50569,-5.76779,-2.20531,7.20001,2.05029,-5.947,3.41552,0.8038,-1.72015,-3.18316
MLH3,29.29146,7.32494,-4.92882,5.80565,-1.38143,0.22834,-1.53269,-0.97844,-1.21866,-1.41443
MLIP,-141.13822,-4.22996,-0.95639,-3.22052,-2.54751,9.60753,-3.45858,13.34861,15.91324,0.39411
MLKL,3.25229,19.95334,6.84437,14.91358,-7.06051,5.78983,-5.80636,-3.2036,3.78388,0.47441
MLLT1,67.92726,-7.49964,-3.30004,-1.68232,1.92113,2.91053,1.78669,1.95879,-1.0219,-0.42399
MLLT10,51.71326,-3.78332,-8.37974,-0.55607,0.17718,0.23142,-0.80155,-2.58872,-0.49095,-1.69452
MLLT11,24.68564,-28.14505,7.75439,-4.25195,1.56367,-7.84569,8.1614,-2.20793,-2.09651,2.24214
MLLT3,3.96832,-1.60192,-6.73793,-5.42159,-4.43599,5.62589,2.34384,4.10358,6.99338,3.40504
MLLT6,85.62851,0.22972,-10.47049,-2.47702,0.51059,4.14228,4.52263,-0.01245,-0.76238,2.37401
MLPH,-13.88592,23.42476,22.1711,11.78961,-45.21835,-11.45466,8.55486,20.695,-16.54759,-13.45143
MLST8,50.86419,-2.20414,-6.81744,-0.3787,-0.57558,-0.77151,-0.93273,-0.19822,1.00567,-0.45437
MLX,56.48935,-1.03289,-5.54958,1.74522,-2.00271,-0.02489,1.52345,0.06273,2.11318,-0.73866
MLXIP,74.74704,-0.94293,-5.05388,-1.28295,-0.8351,0.82286,3.6842,-1.25058,1.22715,0.35596
MLXIPL,-46.20594,29.55337,-11.40638,-25.99185,-5.75668,16.88191,-10.68469,2.6669,4.43023,7.43417
MLYCD,5.9729,1.62444,-4.15878,-1.22667,-0.66861,1.97106,1.3664,1.87383,-0.44611,-0.41116
MMAA,-13.89195,0.59402,-7.79751,2.15041,-2.62809,5.00264,-1.14192,4.22319,-1.3393,0.07583
MMAB,35.12763,2.11555,-6.59751,-0.5754,0.79994,-0.76184,2.16608,1.83423,-0.2684,0.98378
MMACHC,14.54014,-3.06334,-6.72431,-0.94778,-0.33643,1.35919,-1.65207,0.35729,1.64144,-1.72025
MMADHC,74.9529,-0.06768,-1.56187,2.76895,-1.9415,-3.52752,0.17149,0.05006,1.81226,-0.55658
MMD,25.13533,-6.26004,-2.33316,-0.68579,-4.48695,-0.67964,6.74121,-4.73755,-4.40981,0.83619
MME,-26.55128,-8.86211,21.4633,27.13169,1.53456,-6.54742,7.67271,1.15114,-0.95,-7.5908
MMGT1,50.56058,-1.09487,-1.70491,0.05372,0.1545,1.09632,1.33656,-0.06815,0.45298,-1.2616
MMP1,-45.56045,16.81502,33.73707,27.87262,-3.46333,6.64192,8.88833,-16.36605,25.36274,-6.77498
MMP10,-109.72527,22.83331,22.73427,-0.39553,19.48039,4.21283,-1.29399,-15.72874,18.17579,-2.12905
MMP11,-42.4796,-6.41703,-0.93768,-14.14316,1.99349,13.72614,-0.46528,-3.45301,-4.46962,6.49405
MMP13,-108.17061,31.29895,28.23641,11.32173,29.78485,1.60995,13.75177,2.86595,6.74893,1.0394
MMP14,55.30312,1.14152,35.05379,25.10531,1.33956,18.77835,5.05093,-2.06237,8.12517,6.48474
MMP15,24.34758,16.08368,2.24147,-17.97682,-5.73205,2.25906,1.32881,2.67299,-2.08885,-3.0282
MMP16,-51.3998,-51.99526,29.48688,-2.04282,-0.67954,-19.47233,15.24796,7.61901,14.88198,-6.21616
MMP17,-35.28976,-15.97195,19.5961,-5.70797,5.56788,5.92797,-0.58674,7.40656,3.84724,-11.16059
MMP19,-92.97261,-1.65076,22.60232,21.70854,-9.65167,10.2117,-3.94602,-3.09902,-11.8203,1.83669
MMP2,-14.13424,-43.50446,53.55991,9.1104,19.23214,6.75782,24.19052,1.28785,3.51179,3.97467
MMP24,-30.80555,-8.05284,7.62529,-7.74601,-17.14608,-9.49485,-3.09259,-17.4456,-11.9007,1.09974
MMP24-AS1,21.80988,-0.50149,-1.40449,3.75883,-4.85592,8.77272,-0.09778,1.95931,-3.56296,-3.24017
MMP25,-70.43699,6.63163,-4.57884,8.38992,3.87007,3.3482,-11.78603,5.87389,-2.64875,-2.71529
MMP28,-89.19573,33.94947,12.03585,-5.45799,14.55575,14.92315,16.02035,-13.61224,-5.23353,2.98715
MMP3,-134.23186,-4.64423,30.61799,31.29845,-3.26617,1.8186,4.74199,3.32092,4.32971,-12.38786
MMP7,-91.10918,45.30049,20.70529,17.93467,-13.93011,-1.45641,3.59259,-14.30267,-2.70543,21.50948
MMP8,-166.48486,-8.69478,5.24921,22.3648,-4.82613,1.25618,-1.04856,13.70967,24.40625,-13.70047
MMP9,-103.56251,2.48141,12.53622,12.89538,19.27225,-5.05245,-9.15269,-6.89461,-7.33804,-0.19762
MMRN1,-166.15622,-6.51806,-12.43423,9.97025,-1.29936,-6.11928,-7.12905,-1.96532,7.09808,-5.3245
MMRN2,-69.37728,27.83682,11.16185,-7.56563,17.1124,3.83043,2.07779,-1.48817,-4.81564,-4.85642
MMS19,66.05483,-2.73504,-3.182,1.67341,0.13157,-1.3609,0.10928,-3.53792,1.21749,-0.747
MMS22L,47.54073,-4.43425,-5.00218,0.43541,1.93626,-1.9002,-0.36814,-2.48585,0.8662,-0.0942
MN1,-38.64292,-0.33207,31.63937,1.0756,16.47849,9.88104,-11.11566,2.38588,-3.45954,6.18752
MNAT1,35.25177,0.96611,-0.35155,2.8962,3.90556,-1.81213,-1.70485,-1.49023,1.5566,-1.77487
MND1,4.55102,-4.3793,-11.07792,5.87544,-1.3556,-5.66825,-2.34838,-2.67616,1.56453,-1.68856
MNDA,-185.90239,-1.48123,-14.98044,25.39405,-1.39305,-7.68676,-5.35793,-0.38733,-0.79166,-1.9758
MNS1,-12.01704,-5.49697,4.17855,2.15627,-1.09216,-8.0579,-2.19967,-1.31112,-1.1913,0.1393
MNT,38.17514,-1.59511,-4.84168,-2.63444,2.31976,7.28316,1.50466,-0.18956,-0.01638,-1.71936
MNX1,-53.26702,28.85805,-14.08232,-16.40926,-8.36227,7.98904,-14.21878,-0.46878,4.51992,-7.23032
MOAP1,33.78149,-2.74444,-9.01022,-3.22707,0.27955,-0.4975,0.74992,1.23836,-0.38753,0.51636
MOB1A,88.98549,0.01945,-3.83991,2.98022,2.58675,0.6798,-1.99955,-0.15946,-0.57631,1.33988
MOB1B,48.57695,-7.87087,-4.95374,1.77436,1.91528,1.05913,-1.83083,-0.84254,0.27432,1.04547
MOB2,20.40307,1.01646,-3.0025,3.86425,-0.67522,1.08685,1.71399,-0.79684,-0.54845,-1.90058
MOB3A,36.20517,-5.78047,-6.41174,10.24007,5.07265,4.75579,-1.30098,-0.00496,-3.17554,-0.71299
MOB3B,-27.43739,28.10162,-2.59334,-9.91572,10.94416,2.10666,-0.54922,-3.81468,11.40728,-2.35295
MOB3C,11.21773,9.10156,5.7316,7.72141,4.15776,5.53769,1.92264,2.61969,-0.09805,-1.69917
MOB4,45.83959,-1.04217,-1.68145,-0.16772,-1.81508,-2.9476,0.54049,0.05174,0.03233,-1.95724
MOCOS,9.59764,29.26197,17.86686,4.14762,-11.44329,2.38275,-1.40873,1.58828,5.9067,-8.41576
MOCS1,-38.30377,-26.43056,25.28381,-11.10541,-6.20995,-9.60195,-6.64759,8.58053,1.58924,4.39063
MOCS2,43.09841,-1.49143,2.53232,3.88535,-2.97912,-2.66982,0.04888,1.34429,1.00479,-1.34273
MOCS3,20.24653,2.47129,-1.83587,-0.01381,0.81259,-1.62674,0.10782,2.17255,1.07946,-2.72497
MOGAT3,-138.55144,17.49695,-18.68868,-3.61004,-20.03312,19.14006,4.01052,-2.4934,5.00493,1.75119
MOGS,64.50565,0.86043,-2.77248,0.47114,1.14073,0.8865,-0.48836,1.01569,1.37949,0.20109
MOK,17.52722,1.36473,13.9512,5.50967,-3.47189,2.77444,-4.69149,-0.74491,2.06481,-8.29208
MON1A,3.86115,-5.12074,-6.39389,2.77618,-3.62472,-0.20244,0.23923,0.39707,1.93032,-3.92481
MON1B,58.14468,1.14756,-4.92527,2.80152,1.41874,1.2591,1.75735,-0.49846,0.20353,-1.7834
MON2,59.25824,-3.10459,-2.90001,-0.30186,1.2358,-0.29104,0.27325,1.95899,-0.56123,0.4615
MORC2,59.58741,-1.36132,-5.27765,-1.3627,2.11221,-1.78191,0.65433,0.91121,-0.07651,0.82362
MORC3,44.77313,-0.43939,-2.07669,1.56219,2.43745,3.76896,0.29257,0.02746,-0.35452,-0.4881
MORC4,41.06102,7.4604,5.25229,-4.6638,-5.03911,-0.00302,-1.61236,3.70026,3.51661,-0.68781
MORF4L1,105.54799,-3.55099,-0.1125,0.50681,0.50328,-4.35158,0.85323,0.70227,-0.5091,1.741
MORF4L2,105.50014,-2.42851,2.1146,-1.00143,-1.2133,-4.07416,1.95174,1.06982,0.1733,0.09207
MORN1,-2.39485,1.51065,-1.27052,-2.99796,-0.10866,3.087,-2.60882,2.03493,-1.03564,-1.14881
MORN2,3.20289,-1.15779,5.05076,0.64463,-3.63809,-6.45995,-1.98355,2.5478,1.6491,-2.82389
MORN3,-68.68233,0.98265,-4.1092,-5.99594,7.25465,5.04903,-1.41617,-0.36098,-8.87478,-1.13932
MORN4,-0.81866,-0.88731,12.10826,-9.95478,-4.43268,0.97435,0.95546,-6.4563,2.80299,-6.95226
MOSPD1,22.11889,1.18285,0.47051,2.83508,-5.30759,1.52271,-1.26058,0.62365,-1.87476,-2.69051
MOSPD2,29.4069,-2.28632,-0.59346,4.5079,-2.18838,5.17754,0.65694,1.92979,1.5717,-1.35221
MOSPD3,9.10995,-2.28067,0.0143,0.17557,-1.1211,4.46854,-0.99469,2.26874,-1.77026,-2.1385
MOV10,63.04111,2.9181,5.62227,-0.15756,-0.78425,3.08351,-2.45324,1.41746,-0.39747,2.79333
MOV10L1,-110.19406,-6.23141,7.96455,-4.02518,10.71114,21.04328,0.47408,1.90954,-2.35304,-0.30386
MOXD1,-54.78438,-26.97871,35.27193,18.74159,-11.47681,-5.41865,0.66564,6.02589,5.40707,15.62663
MPC1,17.13636,-0.81428,-9.35869,2.66249,0.33009,1.04294,2.93506,4.9678,0.38363,0.6908
MPC2,42.40009,0.67401,-6.81987,1.15571,-3.92897,-0.94732,-4.07506,2.7347,-1.39201,0.06919
MPDU1,50.09736,-1.34472,0.08361,1.40019,-3.90149,-4.64265,-1.93195,0.07558,1.91775,-1.53742
MPDZ,-3.12418,-31.87619,47.3017,-19.30785,20.72325,-23.48215,-5.02068,6.46719,3.95213,5.4749
MPEG1,-175.2975,7.2981,-25.7083,27.81475,2.63429,-13.08696,-2.36218,-0.02153,-5.06561,-2.10567
MPG,33.42708,-0.06088,-1.92925,4.25226,-2.24999,5.33869,-0.93064,0.33114,-0.06227,-2.7307
MPHOSPH10,54.70165,-1.81814,-5.5689,-0.09802,-0.01047,-3.5977,0.716,0.23144,1.75716,-0.75139
MPHOSPH6,37.06961,0.69168,-3.76345,2.79484,-0.25023,-5.85594,-0.17834,0.5506,1.23608,-3.26792
MPHOSPH8,56.13631,-1.45746,-6.42594,-0.9801,0.51714,2.08354,2.16926,-0.16823,-0.19197,1.19069
MPHOSPH9,50.29071,-8.60492,-6.46951,0.30452,-0.07768,0.25898,-0.73017,-1.89549,0.01826,-0.09687
MPI,39.72357,-1.67735,-4.60167,2.19095,0.39257,0.37005,-0.47328,0.38439,0.6317,0.42692
MPIG6B,-99.08871,11.31974,-10.15905,-1.09653,-1.50879,-4.54367,2.80368,2.71355,-2.05316,-2.98025
MPLKIP,39.02516,-1.18298,-3.62136,1.36064,2.85441,2.1883,1.71482,-0.96159,1.07903,-1.68405
MPND,4.16027,-2.43901,-7.24675,-2.37231,0.04125,1.9757,0.78295,0.64832,-1.31872,-2.4226
MPO,-150.93805,-0.11487,-19.25139,22.19939,-6.35768,-9.42458,4.41599,-3.51796,-1.51141,6.46464
MPP1,2.19391,-20.16506,5.51372,10.90089,-3.51894,3.43937,-4.25692,-7.75274,-2.68457,3.72
MPP2,-6.28469,-14.41264,15.07764,-16.90089,6.40353,-1.92597,-7.43464,-2.48108,-0.09531,-2.96365
MPP3,2.35502,7.57672,18.17739,-14.35656,-6.27991,1.9671,-1.95266,-1.74081,-1.65331,-5.53504
MPP4,-77.35764,-16.00161,15.24461,15.07053,-10.69305,6.56617,2.09197,-2.17237,0.6708,-9.25453
MPP5,57.94579,4.14453,4.98911,-0.40874,-0.38236,-1.3119,-3.95559,-0.78052,-0.89404,0.15474
MPP6,36.13386,-7.8848,-2.77964,1.72833,0.50547,-2.84711,2.31637,-5.63283,5.2461,3.44659
MPP7,-15.73679,32.99197,-0.53917,-10.6281,4.7746,0.92061,-6.82668,8.60659,-5.21416,7.07053
MPPE1,18.84286,1.53591,-3.90814,2.28529,1.15231,2.32434,-2.62162,4.16693,-1.65406,0.20352
MPPED1,-169.30876,-0.88643,-12.56568,-10.08709,20.15829,-6.51603,5.76488,-2.76816,3.68942,-6.82129
MPPED2,-92.37231,-9.09738,-6.42937,-10.60375,20.50416,1.16032,6.71012,7.52197,12.15223,-4.22752
MPRIP,105.33808,1.34428,2.87685,0.32888,1.13509,0.12701,4.49228,-2.83158,-1.41789,1.85464
MPST,39.69462,1.35042,-2.69169,-7.30393,-5.54531,6.25895,0.7283,-2.72099,-0.77784,-0.39862
MPV17,44.50092,-4.66093,-2.87764,3.70645,-0.04418,-1.1641,0.08175,0.78249,1.38757,-2.68746
MPV17L,-41.2592,2.60223,-11.22169,-5.07907,-2.20609,-9.53673,-2.47729,-2.64362,-6.68571,1.0978
MPV17L2,15.59623,-1.08346,-3.45796,3.14122,-0.48494,-3.86634,-0.68717,1.84496,1.04148,-4.19537
MPZ,-87.63606,-16.9235,-7.62352,18.29495,-6.21405,4.8692,12.56336,0.01808,10.67011,1.95596
MPZL1,78.9892,0.0811,0.93596,-2.82523,-0.06718,-2.49044,0.45008,-0.77096,-1.56297,0.97712
MPZL2,-33.97926,81.32306,-0.48569,-5.04152,12.79342,-20.47575,6.48238,-0.66133,0.47062,6.54025
MPZL3,-9.22955,37.79834,-9.17385,-0.87638,4.46024,-5.02028,2.60928,4.5417,-1.19888,3.29604
MR1,16.55617,8.52253,-0.12062,16.53967,13.97321,5.9455,-1.60159,9.70645,1.17975,5.98879
MRAP2,-105.97698,-14.91774,6.95124,-13.72531,-2.37906,1.75957,6.88934,-1.88779,14.56289,-1.69686
MRAS,-7.61193,-22.39228,24.8,-7.56856,-5.489,-0.48643,-15.28533,1.19428,-7.69672,-6.616
MRC2,24.3548,-32.10315,37.77324,5.11897,12.08309,11.85419,-10.31981,-2.76452,-10.26344,5.41306
MRE11,55.24219,-0.99448,-7.71307,1.22214,1.65754,-0.95338,0.60271,-2.83577,-1.84938,0.70791
MREG,12.73283,8.7191,-3.62963,-4.97355,3.00542,-1.89877,2.75842,4.48916,4.42061,-2.35784
