gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ABHD16A,-8.16112,0.66872,-6.4743,2.75889,-1.05453,-0.50863,-0.74681,2.79827,-1.14525,-0.72914
ABHD17A,50.29431,-5.01462,-4.93337,0.889,1.52429,2.92322,-0.03373,1.30554,-1.09121,-1.65919
ABHD17B,25.56437,-2.20567,-7.22157,-0.3981,2.36405,2.10031,0.77242,0.48503,-0.42868,-1.16276
ABHD17C,27.92936,16.74249,1.08341,-4.93399,-2.52497,4.68327,6.17179,1.65708,4.97385,-4.44834
ABHD18,16.60638,-0.46284,-11.18891,0.31401,1.13162,3.37663,0.80268,0.95379,-2.52113,0.54924
ABHD2,82.01944,2.76096,0.65638,1.75328,-8.81566,2.0724,6.17056,1.42052,2.79577,0.75737
ABHD3,31.32444,7.51775,-7.47308,4.76623,1.63454,-1.11749,-3.7249,-0.51271,2.82689,1.29168
ABHD4,36.47845,7.42702,7.0212,2.9445,0.80691,2.26071,-1.06868,6.58281,0.76105,2.03462
ABHD5,15.71819,2.62345,3.51545,3.08011,-3.04,-2.33456,-0.06107,2.13345,-0.29812,-4.01083
ABHD6,-0.77185,-7.1142,-4.23022,-0.75139,-2.27957,10.60447,-2.31718,2.11658,6.61781,-0.88587
ABHD8,-0.59564,-7.79699,2.81694,-1.78447,4.82327,1.54504,-6.29371,2.23325,-7.8273,-0.93599
ABI1,61.70259,2.66893,-5.79442,3.90169,1.98865,-0.48714,-0.50788,0.37449,0.63805,0.11008
ABI2,67.85919,-10.64571,-0.83006,-4.73657,-0.8453,1.63491,0.05047,-1.19468,-0.36065,-0.17119
ABI3,-146.18766,-18.20009,-19.41519,26.71149,7.2246,7.08703,-13.33993,-5.14822,-4.95727,5.02926
ABI3BP,-60.1502,-13.00701,31.36026,16.42973,4.20114,6.18667,6.61372,4.05946,-4.84495,7.43411
ABL1,74.70049,-6.96833,0.77574,-0.60748,0.09164,1.97571,1.09586,-0.29731,-1.65324,0.09574
ABL2,66.89916,-7.66429,5.89982,3.38866,-0.10165,1.23324,-0.45863,-1.32532,0.51257,-3.90211
ABLIM1,66.68642,19.05552,-4.1436,-20.21882,-0.02764,-2.46862,6.6241,-0.64768,0.29391,6.61823
ABLIM2,-67.58392,19.39232,-10.59217,-20.7157,5.56442,9.98431,-1.16145,-9.07483,-1.15082,-0.60793
ABLIM3,-13.12876,22.29551,45.24263,18.53365,-15.85894,-1.08837,17.80809,3.82585,-4.54204,-16.08815
ABO,-91.22063,59.70589,-3.84984,-10.64613,3.36292,11.89501,14.06513,-10.53567,8.39146,10.64789
ABR,67.64739,-1.57274,1.75465,2.41089,-5.76941,5.41798,-0.61509,-3.35471,0.70788,1.35534
ABRACL,38.50884,4.6077,-7.25255,4.88372,1.46506,-3.23847,0.98287,0.74056,3.42102,2.86792
ABT1,37.98301,-0.78939,-5.93046,2.77166,1.06824,-3.38523,-0.47063,-0.20593,0.49552,-1.79131
ABTB1,13.04658,3.78693,-1.92539,7.19469,-2.43286,7.16245,1.18704,-1.02537,-1.96476,-1.4868
ABTB2,19.60277,9.93964,11.86769,-0.53037,-7.01254,-0.22158,-5.39031,2.61472,2.05976,-1.75891
AC004381.6,5.57516,-2.8494,-7.06883,3.62956,-2.42292,-3.38892,-0.86175,0.49816,-2.67836,-4.78249
AC004556.1,-136.09183,-1.11607,-2.32421,4.92406,-2.01988,1.91093,0.38285,4.58171,1.08822,-10.05523
AC007325.2,-103.96918,34.46829,-7.27581,-25.32908,3.99911,-1.69209,-6.56491,8.84133,1.23112,-0.51069
AC010642.1,-57.45062,-2.30922,-2.12208,1.83893,0.53675,0.81559,-0.86634,-1.96615,-1.37665,-6.1283
AC011043.1,-30.30443,-4.16571,2.68042,-4.49473,-4.3853,2.16244,1.54782,-5.03135,3.94857,0.70624
AC092835.2,-74.62319,-15.7612,4.59947,-5.60395,8.39494,5.65366,1.38943,-2.73484,-8.30144,-3.10721
AC108938.5,-80.99887,0.31354,5.74905,8.65761,-8.3813,2.1847,0.98965,-4.94047,0.28908,-0.01212
AC113404.1,-72.26616,-2.14642,-3.04536,1.00454,1.0521,13.94192,-5.4077,0.88739,0.25885,-6.58914
AC138969.4,-30.03952,-4.85396,-9.27032,-0.36817,0.8233,5.09811,3.26426,-1.53481,-2.31258,-2.49721
AC145212.1,-61.36965,-7.35131,-0.84788,-2.02903,-6.00618,-4.4808,-2.97066,0.05426,5.00114,-6.16301
AC145212.2,-43.94266,-7.91913,-0.41059,-6.46567,-1.55244,4.66564,-2.3729,1.72426,1.41994,-2.9315
AC240274.1,-13.31006,-3.14854,1.22871,-4.39583,-0.65127,2.68298,-3.70042,0.42814,-2.23198,-3.81645
ACAA1,39.81165,3.87677,-4.6632,3.66389,-4.47488,-1.51595,0.75297,4.56496,-0.41334,-0.21859
ACAA2,40.38633,-12.0684,-13.68343,0.20581,-16.0126,-2.7191,-1.10257,-2.34928,-4.6961,4.84702
ACACA,87.91274,-1.46916,-2.68881,-3.6732,0.93945,-1.38499,1.1096,-0.97137,0.17322,0.38252
ACACB,5.23835,-9.95958,-4.97814,-5.3503,-2.27473,2.06299,-8.32692,3.16915,-0.26178,2.801
ACAD10,33.76955,-1.3109,-6.31206,-0.71383,0.46927,3.55663,1.29237,0.30414,0.5611,0.67141
ACAD11,-46.42994,-2.72749,-2.44784,-0.26546,2.47892,14.62816,-3.11414,0.34979,1.20731,-4.30661
ACAD8,34.95187,-1.72535,-7.11591,2.45691,-1.79264,-0.75548,-0.2101,-0.29165,-1.52074,0.38668
ACAD9,49.64378,0.11673,-2.44124,0.85607,1.13713,-0.84122,-0.03767,1.12441,0.25369,-0.61923
ACADM,55.26295,-5.11659,-8.48921,4.14011,-0.1065,-4.86053,-1.23214,1.12197,1.05193,-0.41064
ACADS,0.39277,5.01323,-4.82668,2.11898,-7.20915,6.50873,-2.923,-3.63924,3.32649,1.35772
ACADSB,28.2356,-3.00365,-7.83572,-1.90008,-3.41601,-1.44294,-3.02231,2.13035,0.76312,-2.93695
ACADVL,93.31906,1.71465,0.5007,1.56519,-2.23038,-0.01858,-1.50066,0.36432,-0.67055,0.92768
ACAN,-144.01957,-9.54902,6.55453,3.72143,-5.48409,4.03467,-2.07691,12.41874,6.28771,-6.91403
ACAP1,-48.05201,-2.70697,-18.33995,26.15877,10.93684,-3.42484,-6.67579,-2.36023,-2.45012,0.83338
ACAP2,68.02041,-0.48302,-4.48119,0.51248,3.3912,2.41219,0.77688,1.1517,1.02234,0.05533
ACAP3,51.15111,-6.02305,-4.83304,-3.19814,0.60912,3.31537,6.28055,4.41629,-0.18781,1.25353
ACAT1,60.42444,-3.44224,-7.0397,3.60389,-4.50828,-4.32495,-3.96351,-1.70188,1.12453,-2.9017
ACAT2,55.59039,-3.68418,-3.50931,1.58904,-1.3971,-4.48472,0.11775,-1.8515,-1.44391,2.01921
ACBD3,66.03169,0.98085,-0.99735,0.63947,0.24894,-0.93458,1.73623,2.76178,-0.46094,-0.22212
ACBD4,0.01121,4.50835,-7.19078,-1.02269,-2.46576,6.76281,-3.55226,-1.446,-2.5969,0.65086
ACBD5,49.50187,0.51018,-4.95281,-1.64006,-5.69978,-1.35221,0.3763,-0.56888,-0.28141,-3.1628
ACBD6,53.01901,-2.66179,-5.45058,-0.67077,1.78457,-0.63851,1.01679,0.07989,0.5962,0.59832
ACBD7,-31.16261,-3.98734,-3.47174,-4.0937,-1.43584,-0.83207,-3.21108,-3.83772,-5.98321,-1.43717
ACCS,-4.60222,15.31581,5.74356,10.99265,-3.42524,3.74142,-10.53736,2.51734,0.69736,0.56717
ACD,34.80096,-1.1502,-2.63775,3.53924,0.93473,-1.03968,0.39943,-3.58397,-0.21231,-5.23926
ACE,-71.6976,7.12484,-10.66161,-21.24254,-9.76493,7.94054,12.98737,-5.324,-13.3193,1.34895
ACE2,-107.37346,41.54743,0.37411,-10.61725,4.91935,-0.59383,5.38875,1.90371,1.98424,6.48987
ACER2,-40.52508,12.4572,-8.59253,-5.5883,2.0289,5.55126,1.25171,-1.2364,0.47609,-2.99792
ACER3,45.84022,2.22232,2.34633,-0.96428,1.35874,2.11003,-1.13241,-0.6427,-0.96624,-1.56251
ACHE,-74.95343,6.58477,8.97969,-14.6202,-5.59207,5.55551,-8.74655,-1.99064,1.19818,-5.18551
ACIN1,96.14979,-3.65381,-4.72658,-0.74943,1.37296,-1.41201,0.71236,-0.24959,0.23163,2.44109
ACKR2,-95.90761,19.26699,-8.2815,-5.17446,6.28742,2.16476,-7.62217,7.08425,-12.9764,-1.27682
ACKR3,-67.24697,3.66859,27.42122,5.44445,30.8405,-4.35656,8.50288,9.52093,-3.12135,9.42614
ACKR4,-101.48358,4.38665,-9.6801,16.71255,-5.82657,-7.45364,3.84865,-2.29427,4.77114,-2.90294
ACLY,107.73577,-6.83971,-3.76987,-1.06924,-1.54644,-4.5893,1.15503,-0.53706,0.05822,0.92928
ACO1,56.4881,-0.54201,6.66392,4.39066,-6.25381,0.22457,-2.80861,-1.06378,-1.82673,0.43351
ACO2,71.78138,-2.75368,-5.68518,-1.14362,0.76633,1.12509,0.30779,3.75492,2.25258,-0.96034
ACOT1,-41.65583,9.84063,3.29323,9.1069,-9.81108,-8.52343,-2.43879,4.20458,-6.48487,-9.78011
ACOT11,-9.05609,15.30442,-2.68228,-8.57288,3.02726,6.44111,5.28821,-7.00188,1.47857,3.36956
ACOT13,32.74259,-0.02901,-5.39578,1.21665,-1.97948,-3.46702,-3.18894,4.3009,-0.25819,-2.31461
ACOT2,8.10543,6.30575,4.42052,11.38823,-9.78507,-12.72259,-1.17163,2.56688,-3.90883,-7.53582
ACOT4,-71.50969,33.51055,5.16848,-0.00917,3.58386,-9.99108,-0.77536,0.57064,-15.12244,-3.64383
ACOT7,59.94132,-4.7487,2.50276,1.49449,-0.84769,-1.80852,-0.5195,-1.15486,2.08374,-5.92285
ACOT8,23.10306,-0.68084,-2.74822,4.01754,1.06142,0.7078,2.87605,2.60974,-1.29642,-1.86155
ACOT9,48.63956,2.93003,9.481,4.75991,-6.39514,1.06514,-4.5464,-2.27289,0.24227,-3.43148
ACOX1,53.85162,2.66098,-3.22073,-3.58011,-1.26475,0.65611,1.50109,4.02381,-2.01676,-0.30496
ACOX2,-90.65354,1.70421,8.05523,5.55392,-33.32924,-2.81636,-3.7804,5.52071,-3.13875,-9.67299
ACOX3,14.11099,-2.12958,-1.94928,3.94373,-1.18795,1.80271,-0.89578,3.8668,-2.83052,-2.48359
ACOXL,-106.68344,31.85433,-8.55414,0.00752,11.06856,-7.51236,4.79737,-3.65816,-2.21529,6.16327
ACP1,75.0587,-2.25573,-6.79822,-1.20151,-0.92039,-3.69858,0.71672,-1.02724,1.30567,1.08325
ACP2,33.66253,1.20768,1.89199,0.90464,-1.74711,-3.08648,0.46064,3.44189,-0.77453,-0.53971
ACP5,-76.92414,6.58867,6.85269,12.56374,3.74312,1.39517,18.16307,8.85279,11.8458,-4.5431
ACP6,24.8343,8.33339,1.09414,-4.42714,-4.23531,2.63782,1.64782,3.54036,2.37479,3.59942
ACP7,-100.77912,28.23126,26.31983,3.56131,17.02138,7.24136,-2.74257,-12.13787,-4.27292,-12.66752
ACPP,-82.77966,27.26864,-13.67846,-6.41167,13.29823,3.65346,12.03546,19.59602,6.15065,14.11373
ACRBP,-81.70915,-0.45254,-21.97695,-2.40881,2.33026,10.60008,-3.21414,-4.17436,-4.71514,1.1101
ACSBG1,-85.28561,0.88639,-6.63224,0.22931,3.82366,0.94964,-0.92545,3.35101,2.86426,-3.17358
ACSF2,26.13502,13.80623,-0.45332,6.65805,3.79791,-0.25724,-0.58915,6.46748,-5.13092,2.9315
ACSF3,32.72493,1.39254,-8.10656,4.1082,2.25418,3.99148,-2.33043,-0.35955,-0.43254,-0.05399
ACSL1,52.85451,4.22996,-5.49622,-0.88914,0.81093,-0.36937,1.71342,8.11113,-0.20755,-7.08751
ACSL3,85.84967,2.6426,1.37364,-0.5321,-0.33719,-2.46719,2.66565,3.62066,3.44491,-1.31033
ACSL4,68.5358,-5.97981,4.89787,12.3596,-2.30188,4.40904,2.13534,-10.20657,3.77108,4.51622
ACSL5,-16.692,44.74218,-14.11118,43.10768,-17.16119,5.51151,14.58504,-4.37428,-14.59151,11.22514
ACSL6,-86.41354,-1.17194,-7.4191,-10.33936,-5.69264,2.0892,6.23878,-1.87582,1.64601,-5.03031
ACSM3,-45.97267,17.929,-18.44806,4.54457,-12.13464,6.0929,-6.0583,0.18988,-3.45411,12.45517
ACSS1,1.00723,6.36052,-9.13997,10.6409,5.0804,12.50176,-1.11825,6.35397,14.1028,10.50549
ACSS2,46.49446,9.77495,4.47782,-4.8363,-3.74902,6.56304,0.351,3.91068,-0.6503,-0.97168
ACSS3,-99.77549,-28.73383,16.88547,-0.06705,-17.68614,-21.73059,0.5488,28.86218,-2.53265,15.46738
ACTA2,-21.29351,-16.74396,17.46159,8.38749,-1.07178,12.15899,-2.43532,0.45642,-3.43106,5.03496
ACTB,176.36377,-3.54827,3.86277,5.08059,0.19296,-5.8106,1.63576,0.63479,-2.14942,3.07647
ACTBL2,-115.64767,23.42658,37.76994,20.29924,-0.21058,-5.18828,2.20062,-1.37479,-4.36311,-0.4303
ACTC1,-150.91304,-6.0772,19.46691,12.06162,-3.63942,-4.50177,-2.95856,-4.00212,-9.70265,-5.33179
ACTG1,165.45407,-3.17201,2.37559,1.96083,-1.05998,-2.93058,0.11903,-1.50526,-1.16919,5.14891
ACTG2,-111.15468,-14.75514,19.93574,5.17022,0.70662,1.59555,-1.71137,23.66269,-9.31852,2.87661
ACTL10,-75.6374,16.70646,-14.59919,6.21679,-1.96481,-2.59882,10.16892,0.37359,-1.88772,-4.34759
