,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SIDM00261,152.11917,-14.75305,105.33415,-13.78853,45.71047,48.07697,-84.52695,16.15014,29.14949,0.04361
SIDM00539,-148.17955,62.52872,48.82747,75.26149,7.85862,80.68704,-22.60913,2.75925,-12.0766,-5.44877
SIDM00538,-111.09049,67.86646,-18.59679,118.32566,59.91633,52.92704,-10.60334,-16.36731,-26.84264,31.93218
SIDM01043,22.56566,-68.72046,-54.35528,-6.01247,-23.18588,-5.94679,-9.96402,-28.48761,-30.42266,11.76944
SIDM01042,-68.30633,100.14938,73.00936,22.95351,19.48025,-58.98305,27.70894,131.44117,-43.98948,17.74261
SIDM00198,124.62642,-4.44086,50.17748,5.98978,68.68366,34.06467,-91.78836,28.82,1.17295,35.12125
SIDM00196,159.08924,21.68194,104.97908,-14.09211,52.24273,37.03329,-81.9401,11.47443,2.39416,19.20035
SIDM00201,128.13191,30.38786,81.86545,8.90105,89.95287,29.97418,-107.09593,22.44206,19.92202,29.75722
SIDM00277,65.99404,224.40129,-115.77788,-39.05286,78.19253,53.73204,-76.97634,-0.7997,-42.99005,53.34366
SIDM01041,9.43814,40.30047,-12.85889,100.9051,119.20331,-62.82188,-43.79964,-31.47981,-29.38442,48.76782
SIDM00503,-1.19854,61.96122,30.506,46.69818,-50.87975,-33.36569,-38.87205,-17.10773,-24.85005,64.01785
SIDM01055,57.84627,-75.67864,-70.24845,11.12407,-32.75243,-11.60077,12.65886,-9.84512,5.43846,7.47947
SIDM00581,73.60262,-46.01613,-61.59489,16.90894,-10.0482,8.51692,30.44794,22.47179,-4.29839,-4.11392
SIDM00274,-23.68073,-18.20387,48.19022,17.35478,-47.08428,7.43505,-51.18602,-9.09828,-1.56049,-46.55015
SIDM00853,61.36209,-43.80361,-101.67971,-0.49422,-41.25947,-8.05988,24.03438,-12.56292,24.82329,18.79582
SIDM00273,104.18409,-52.29721,-55.49314,16.93139,-16.8209,7.15076,36.90588,8.96672,-3.66926,24.81745
SIDM00537,-113.22438,103.41845,60.8649,82.15976,6.61287,32.31332,-11.48459,13.47686,9.64797,15.82907
SIDM00852,78.94871,-80.92064,-16.57491,-16.58352,-38.44277,31.37044,-13.22756,26.85907,17.61113,4.53247
SIDM00598,-22.56693,-21.9143,23.49846,-60.62499,-8.57943,-24.82684,23.49888,-14.1262,63.67488,7.40035
SIDM01072,-40.18249,-8.61292,-27.58085,35.31348,-17.81309,-44.80616,0.46661,-23.7948,-11.74311,24.08698
SIDM01070,-20.4133,-66.66884,-26.94572,-7.91447,-25.02027,-32.56661,-13.21514,-27.69744,-9.51462,-8.34485
SIDM01068,-92.05517,-2.01072,-38.60734,-7.98797,-47.34136,0.67575,16.10791,-11.02477,-31.73535,-17.66962
SIDM00866,-59.52328,-42.56336,11.43961,-36.4312,-1.56387,-31.74826,-0.33935,7.76548,-13.85564,-0.25312
SIDM00885,-6.77301,2.63867,51.22029,-47.94201,-17.21471,-1.40142,-7.59368,59.99599,-41.54118,-23.19708
SIDM00884,38.26702,-47.35351,-44.01534,3.14126,5.74175,-7.24721,-3.1918,30.95375,-11.36123,32.59349
SIDM00882,-58.4215,73.37721,66.04203,15.03289,-9.71103,-64.20826,34.11387,123.08814,-54.11736,10.01883
SIDM00881,-34.35116,27.82661,79.64678,-27.77659,-31.1822,-57.64531,4.0197,81.15905,-43.25162,17.81952
SIDM00875,-75.46166,-64.02777,37.21629,-79.70205,0.59457,25.00366,-35.2556,-16.15496,-0.11359,1.16208
SIDM00874,-101.81716,-33.46543,20.38649,-48.52778,-17.67675,-12.0842,-9.64826,9.98153,-63.66572,29.59928
SIDM00872,-104.55663,-9.81786,5.29164,-32.15767,-14.95529,-34.59822,34.17201,58.92536,-20.53682,0.53948
SIDM00870,-57.71383,69.24302,43.64436,2.87782,-24.83118,-63.96182,44.25785,126.36268,-57.96372,6.10764
SIDM00118,-130.10096,106.2167,46.01179,111.78749,19.64664,59.35555,-8.66872,-12.06003,24.32928,-8.94615
SIDM00675,-11.09955,-67.63055,20.34939,-37.8912,-36.67473,-27.18658,-7.44537,18.07502,-28.16134,1.59173
SIDM00673,-116.21746,-6.79318,-5.60133,-33.41715,-17.79421,-13.06628,39.73215,65.55324,-41.73987,10.44926
SIDM00052,31.48449,-87.51057,32.11933,-32.029,-19.85855,42.88066,-61.69922,-13.14827,-16.38639,-16.5956
SIDM00783,-73.80666,33.33078,44.65796,63.00511,75.35239,17.75376,-41.48027,-31.249,12.30915,-16.5245
SIDM00789,-98.77917,76.30071,27.76351,73.68261,14.44928,9.41455,-2.70733,-9.06317,6.81783,8.76814
SIDM00596,-23.72872,40.92895,4.29212,106.69763,59.68838,-46.11271,-59.45437,-16.5836,-13.13538,-55.75334
SIDM00594,65.86814,138.42508,-63.97278,-49.64066,-30.53486,27.27009,-48.15642,-20.99348,-3.2906,36.77534
SIDM00290,95.33034,17.99931,45.19146,21.51101,21.30724,-34.59128,-2.21116,22.90738,43.25642,41.59432
SIDM00591,-61.66718,-38.07381,43.78909,-38.27175,71.0137,-2.79614,-6.45532,-22.92668,64.34941,-23.87433
SIDM00133,38.40943,-84.01297,-51.52581,7.77428,-27.89483,-3.69632,-6.7869,-30.15652,-27.60157,14.47747
SIDM00669,-151.42741,19.08096,-15.77558,45.63042,-67.77911,50.16972,14.644,-29.95582,-1.44288,11.8177
SIDM00590,-73.68896,-58.45701,-26.19321,-77.88809,27.24665,21.7701,37.08418,-6.26833,43.26986,4.93852
SIDM00589,-79.13224,-36.459,-86.74595,-40.99001,38.92269,-23.08909,70.4309,-47.89542,38.41829,19.57851
SIDM00045,-136.5634,136.97225,60.76928,115.0677,21.70659,36.46607,30.33056,38.46347,13.34717,-6.81469
SIDM00588,-77.97889,-67.40975,19.00852,-94.94906,11.03651,38.72024,-0.30267,14.84452,6.58037,14.16004
SIDM00828,58.66955,-60.14384,-77.91669,17.24226,-12.14135,-8.23469,34.72621,-10.42426,34.86901,7.06865
SIDM00534,-143.94183,85.37354,32.57469,95.40075,-34.8588,69.89927,-2.45837,-17.16587,29.13529,5.02327
SIDM00678,-96.79362,-9.92057,-14.64549,-56.26821,-1.38545,-25.24778,44.22749,47.24034,-25.49718,13.64586
SIDM00695,94.74191,-56.83028,-35.97429,12.03515,-36.53451,11.36159,-8.46206,68.43697,90.17312,15.85758
SIDM00136,-145.47085,91.93551,25.35999,86.37793,-41.05022,49.33178,20.85389,1.26851,3.47167,8.81294
SIDM00541,-125.31238,86.50367,47.87882,68.33319,-47.20256,76.58553,-3.63288,2.91063,15.09393,16.9642
SIDM00968,43.17743,-65.8366,-102.08703,59.10431,59.08014,-12.482,20.34729,-43.26591,0.2256,-38.48036
SIDM00587,-107.45779,-18.81341,-78.43903,15.86146,-49.19908,-6.96018,46.38308,-47.11068,-4.06115,-18.33137
SIDM00585,16.06002,2.57562,38.65194,34.61117,-86.93369,-3.0294,-22.7643,-1.41763,4.14112,-0.63651
SIDM01060,77.8297,-26.36944,-46.30199,10.97799,-39.93359,8.64413,-1.11757,55.6944,76.50027,26.75413
SIDM00151,-20.10506,5.56104,37.98432,33.1067,-1.14331,-61.62343,-47.12938,-26.39106,-6.01411,-25.92114
SIDM00632,70.71702,152.17281,-72.94197,-64.11691,19.37992,54.17111,-47.63647,-0.49339,8.84887,-75.35412
SIDM00602,-148.39654,88.55316,9.61625,77.27575,-49.88461,44.5471,24.53449,9.93897,31.80625,15.26137
SIDM01059,86.04794,1.87358,-65.62218,27.09641,-27.34961,-22.05148,-0.45828,52.41969,100.19405,26.26549
SIDM00225,110.95739,-71.69394,-39.53736,49.6476,39.71455,25.21485,-1.87819,56.73451,33.01421,7.25861
SIDM00618,-39.43666,-10.20364,50.44551,1.67978,-25.69826,-28.96132,-48.23351,-22.11053,-24.94549,-10.38274
SIDM00616,16.27262,-32.50061,-62.59683,49.25081,-69.43403,-5.68841,21.78891,-5.95336,11.35848,-62.17667
SIDM00614,4.09802,45.14422,44.56055,51.69581,-65.17582,-12.79972,-19.59708,10.30818,46.56354,5.02575
SIDM00305,-32.99787,-62.01081,19.22511,-46.52032,-59.29444,-13.73055,-12.77138,-1.6312,-27.3055,-49.49395
SIDM00303,-41.88109,-33.78254,63.40582,-37.63866,-58.48404,-17.42722,-48.2033,4.54248,-31.44664,-25.7418
SIDM00128,-143.19243,-46.27437,-7.96334,-61.80119,119.48448,66.52193,6.34853,10.66218,-6.56354,-10.22144
SIDM00127,-106.07864,-47.38088,10.25842,-60.58063,63.0719,17.60967,22.98047,18.72139,-10.66888,-35.05234
SIDM00690,-116.04322,-57.93431,-39.96846,-52.80099,144.24941,51.23141,29.35226,6.526,29.87641,14.77883
SIDM01037,-53.86189,-38.17133,-8.0418,-13.68966,9.92402,-55.20479,7.8246,5.72231,-41.52784,17.35101
SIDM01036,66.91655,150.71032,-68.60983,-62.81445,-35.393,2.5064,-4.8597,13.75055,21.78769,-50.3471
SIDM00613,76.7227,-89.94491,-40.76439,4.05662,-29.33126,24.15895,-3.35794,28.59455,-38.0849,-6.10414
SIDM01010,25.59223,126.27702,-109.2951,-46.58872,-18.39698,28.12754,-30.02195,-13.82654,-10.64362,21.99364
SIDM01008,65.41647,239.55575,-107.88673,-69.87412,2.34215,-17.19003,27.11347,-0.23002,-17.72366,-37.65497
SIDM01005,62.45641,155.78603,-72.68292,-54.3848,-14.359,1.30739,-37.16737,-21.41919,-8.20219,47.79057
SIDM01009,195.50238,37.19332,142.82799,-21.04806,-23.81219,7.39396,103.38636,-58.19033,-17.65298,26.11713
SIDM00612,125.84109,-89.74931,-58.79157,51.36078,26.40888,58.49456,14.59401,58.61331,-17.61742,-17.77628
SIDM00686,11.59607,-60.48219,56.24939,-40.84663,-57.34281,-0.0116,-52.05268,0.01392,-7.0043,-26.61988
SIDM00150,-93.30073,96.91832,16.21842,65.97393,-41.04507,29.51269,22.90363,-6.31366,34.52605,4.62355
SIDM00611,22.58285,-64.10755,-108.52468,24.9358,-53.00096,-25.3755,0.50616,-20.80133,12.86684,-25.54102
SIDM00609,4.71818,-25.72355,-35.72726,26.51191,-58.80859,-14.13226,-31.57336,-6.30069,-2.27768,-62.05285
SIDM00608,70.66384,119.42447,-24.45058,-41.67802,-20.89011,-11.45421,-9.43109,10.74234,43.35232,-68.72849
SIDM00607,99.58097,-34.48885,9.57027,12.68838,-26.32382,10.50746,11.43681,31.77548,16.4501,-44.8019
SIDM00606,-88.90108,-43.98366,20.14589,-56.26861,30.20593,7.06658,19.54321,-18.23481,58.7744,2.82754
SIDM00604,-85.76956,-71.79941,-21.93659,-48.11513,80.50771,33.41875,10.45378,-10.01995,12.86085,-15.42092
SIDM00583,8.49923,-24.32282,-15.30166,58.78711,64.11047,-57.63412,-21.37726,-34.06797,-19.41536,14.51757
SIDM00582,-96.62395,-19.83312,0.89125,-14.62755,-18.83774,-8.09551,13.76659,-4.28964,-23.90748,-10.97126
SIDM00571,-64.73903,10.83062,-16.19163,57.099,-24.81379,-20.94623,-16.45544,-31.67403,-2.65469,-29.8827
SIDM00556,198.55112,32.30346,129.42949,-29.18525,-24.93406,29.7586,100.02586,-49.83599,-20.01196,17.01304
SIDM00157,197.6637,-7.02263,157.10443,-20.40564,10.79803,42.55872,43.05345,-42.01486,-25.30535,4.23126
SIDM01033,-18.45586,-51.49107,25.03208,-50.05295,-22.33437,-1.58458,-22.5064,-36.52975,14.40469,11.39046
SIDM00554,17.19284,-37.61583,41.48409,-17.50802,-31.28773,4.13031,-44.81076,8.71394,-30.11239,-17.03703
SIDM00530,-144.63669,50.79643,39.51742,68.08299,-29.27217,66.05063,-12.36473,10.88079,1.30731,-3.36192
SIDM01032,-33.83342,-32.07012,56.6922,-66.87233,32.88495,-16.59544,1.73298,4.456,69.60688,4.84601
SIDM01031,-91.58464,23.12466,-43.92375,-7.1967,82.43743,-51.39971,62.68649,-5.95242,28.91401,17.97128
SIDM01030,-54.99697,-24.90692,28.63762,-58.69619,37.53798,-37.693,16.1751,-9.0223,64.36925,17.12516
SIDM00551,-83.42226,-24.65595,67.03482,-43.63367,90.33792,9.65299,-36.83759,1.45098,11.82612,-4.26361
SIDM01029,-4.98867,-61.17666,81.13132,-76.68993,-16.23034,0.25529,-48.73751,-26.59413,27.24207,20.31024
SIDM00015,-100.61516,-11.21542,1.75237,-27.75674,28.70618,-43.57302,29.97139,3.18513,8.90227,-0.95063
SIDM01028,-70.51987,-31.59629,-11.34207,-36.82298,-8.64957,-16.14357,65.77416,-2.83448,46.06182,-14.88797
SIDM01027,-35.75186,-6.80806,39.02507,-46.58931,37.73735,-46.04456,13.15462,-3.14919,65.47843,-9.73117
SIDM01026,-99.84895,-14.96862,-2.42941,-43.65959,31.74326,-32.2229,31.42085,7.58748,32.36975,18.90499
SIDM01025,-46.37076,-69.98157,1.00806,-54.52285,20.64315,-8.02286,9.31689,-31.3117,29.84623,13.59843
SIDM01024,-12.14034,-2.69303,45.60301,-31.87088,52.17011,-20.20437,1.78146,7.37743,72.77859,2.72407
SIDM00312,71.78797,168.74089,-45.42722,-44.49224,-13.9602,0.12467,-1.01413,16.45707,17.19821,-43.38242
SIDM00187,2.84367,-80.87614,-24.36842,36.08301,-6.24301,-11.93827,-52.16733,-51.70981,-25.45221,-52.09655
SIDM00182,9.8389,39.32542,-14.70338,102.85104,124.50093,-65.89855,-43.53887,-30.38735,-30.60709,49.32622
SIDM00300,-14.80223,4.16604,79.34123,-34.54564,91.25791,-34.92432,0.80672,28.22095,74.04756,-46.75423
SIDM00345,20.12076,-66.26338,-46.68801,4.36807,-29.20485,-7.93645,-6.16985,-23.82674,-19.0783,0.53674
SIDM00344,-86.96725,5.37185,-21.03108,4.02645,-12.58529,-14.60717,9.63843,-12.87793,-21.18855,-12.38668
SIDM00548,27.39868,29.97869,59.80927,-17.16751,-29.56929,-22.67624,21.63953,10.6697,81.38853,-38.51286
SIDM00685,64.46696,-49.15936,-55.87201,5.7489,-22.57795,1.39971,16.19911,14.70777,-7.30159,19.59548
SIDM00684,88.07937,-74.88229,-60.5833,27.34404,-15.04479,15.32939,28.67443,61.4258,41.86727,10.20189
SIDM01220,77.10219,-32.06561,-74.23202,56.82307,71.11923,39.73022,8.934,63.31021,-39.08426,1.88593
SIDM00341,21.03853,-50.91512,-54.40688,34.60924,23.55261,-51.15268,10.48463,-12.23904,-33.09394,9.97859
SIDM00340,71.19793,128.02174,-32.47282,-56.41637,-26.61094,17.74209,-21.17171,14.97058,12.11298,-64.55908
SIDM00680,-144.4384,100.20159,41.39374,109.69168,-7.34112,89.8709,11.65032,11.37858,4.33968,-4.87755
SIDM00677,-177.06654,119.56185,20.42342,111.92763,-16.52518,103.05597,20.8475,-2.04015,12.29748,6.8126
SIDM00339,4.06455,-70.58942,-32.26598,9.6161,-17.56893,5.05304,-20.61668,-37.01728,-9.63228,-0.85166
SIDM00839,-97.83846,42.22329,28.71133,51.30796,-38.16,29.31984,-13.24907,-28.82939,39.89318,16.0801
SIDM01246,137.9636,59.11674,63.03589,-0.03456,78.37807,32.6647,-87.52635,32.08969,29.60731,31.77338
SIDM00007,76.83489,-75.12363,-14.56536,32.28904,23.95419,0.26702,-11.91755,-20.37345,-31.09497,-26.11495
SIDM00006,101.68783,-106.98886,25.3127,-6.10092,-11.15141,15.86442,-35.01923,13.2374,3.99178,-30.13468
SIDM00148,-47.32736,51.52158,67.74339,-4.78183,-8.45374,-60.35087,21.17509,78.73889,-33.77508,24.72747
SIDM00529,85.48931,-67.4569,2.00513,-10.63477,-17.03628,-17.06741,-26.49292,16.95046,-21.14264,32.77389
SIDM00146,-18.07686,-39.73515,-78.21283,20.28757,-31.78745,-9.90457,16.49059,-22.5665,-33.28313,0.25573
SIDM00528,-38.76109,13.38118,86.21351,-9.77926,-9.91821,-37.73693,7.26279,89.86142,-36.92234,2.80637
SIDM00630,-86.35013,9.18174,42.072,-28.92605,-73.56332,-8.89159,28.23055,105.11386,-39.08934,8.53635
SIDM00629,43.7058,-59.69706,-10.749,-6.85723,-27.62972,-26.2857,-19.05549,-19.5733,13.04633,15.56425
SIDM00272,-44.5402,90.00081,46.46019,12.6894,-2.47224,-74.16002,55.94316,113.49508,-38.42485,13.66146
SIDM00628,-90.58563,-10.67033,25.42742,-38.90648,-8.44667,-32.96613,5.98673,60.09917,-56.77609,7.67857
SIDM00527,96.73164,-62.26677,-76.75119,43.85179,11.71435,21.39995,20.05561,13.88765,26.33279,2.27459
SIDM00336,77.05766,-15.60157,-52.50133,35.13404,-14.33997,-31.47154,13.97311,48.34711,105.13383,15.71242
SIDM00335,43.46056,-26.54793,110.93782,-44.13278,-59.44834,3.29162,-49.36684,6.73378,-4.46677,-30.40209
SIDM00334,59.64115,2.99592,39.14288,10.47091,6.1827,-36.74135,-37.01552,-6.61089,-20.84351,39.969
SIDM00333,-15.08628,-7.73056,50.88168,6.92627,1.48525,-57.91986,-31.82628,-0.08862,2.58592,-20.73408
SIDM00332,-41.47475,49.99429,79.44074,13.51999,11.65855,-37.95034,7.84492,95.85174,-25.18028,-6.97407
SIDM00386,117.21407,4.74485,52.09471,-11.88517,25.11751,18.54255,-94.38949,11.68093,3.3514,49.35162
